"Name","Type","Geom1","Geom2","Geom3","Geom4","Barrels","Culvert"
"421_22","Trapezoidal",1,1,0,0,1,0
"421_23","Trapezoidal",1,1,0,0,1,0
"421_24","Trapezoidal",1,1,0,0,1,0
"421_25","Trapezoidal",1,1,0,0,1,0
"421_26","Trapezoidal",1,1,0,0,1,0
"421_27","Trapezoidal",1,1,0,0,1,0
"421_28","Trapezoidal",1,1,0,0,1,0
"421_29","Trapezoidal",1,1,0,0,1,0
"421_3","Trapezoidal",1,1,0,0,1,0
"421_30","Trapezoidal",1,1,0,0,1,0
"421_31","Trapezoidal",1,1,0,0,1,0
"421_32","Trapezoidal",1,1,0,0,1,0
"421_33","Trapezoidal",1,1,0,0,1,0
"421_34","Trapezoidal",1,1,0,0,1,0
"421_35","Trapezoidal",1,1,0,0,1,0
"421_36","Trapezoidal",1,1,0,0,1,0
"421_37","Trapezoidal",1,1,0,0,1,0
"421_38","Trapezoidal",1,1,0,0,1,0
"421_39","Trapezoidal",1,1,0,0,1,0
"421_4","Trapezoidal",1,1,0,0,1,0
"421_40","Trapezoidal",1,1,0,0,1,0
"421_41","Trapezoidal",1,1,0,0,1,0
"421_42","Trapezoidal",1,1,0,0,1,0
"421_43","Trapezoidal",1,1,0,0,1,0
"421_44","Trapezoidal",1,1,0,0,1,0
"421_45","Trapezoidal",1,1,0,0,1,0
"421_46","Trapezoidal",1,1,0,0,1,0
"421_47","Trapezoidal",1,1,0,0,1,0
"421_48","Trapezoidal",1,1,0,0,1,0
"421_49","Trapezoidal",1,1,0,0,1,0
"421_5","Trapezoidal",1,1,0,0,1,0
"421_50","Trapezoidal",1,1,0,0,1,0
"421_51","Trapezoidal",1,1,0,0,1,0
"421_52","Trapezoidal",1,1,0,0,1,0
"421_53","Trapezoidal",1,1,0,0,1,0
"421_54","Trapezoidal",1,1,0,0,1,0
"421_55","Trapezoidal",1,1,0,0,1,0
"421_56","Trapezoidal",1,1,0,0,1,0
"421_57","Trapezoidal",1,1,0,0,1,0
"421_58","Trapezoidal",1,1,0,0,1,0
"421_59","Trapezoidal",1,1,0,0,1,0
"421_6","Trapezoidal",1,1,0,0,1,0
"421_60","Trapezoidal",1,1,0,0,1,0
"421_61","Trapezoidal",1,1,0,0,1,0
"421_62","Trapezoidal",1,1,0,0,1,0
"421_63","Trapezoidal",1,1,0,0,1,0
"421_64","Trapezoidal",1,1,0,0,1,0
"421_65","Trapezoidal",1,1,0,0,1,0
"421_66","Trapezoidal",1,1,0,0,1,0
"421_7","Trapezoidal",1,1,0,0,1,0
"421_8","Trapezoidal",1,1,0,0,1,0
"421_9","Trapezoidal",1,1,0,0,1,0
"422_1","Trapezoidal",1,1,0,0,1,0
"422_10","Trapezoidal",1,1,0,0,1,0
"422_100","Trapezoidal",1,1,0,0,1,0
"422_101","Trapezoidal",1,1,0,0,1,0
"422_102","Trapezoidal",1,1,0,0,1,0
"422_103","Trapezoidal",1,1,0,0,1,0
"422_104","Trapezoidal",1,1,0,0,1,0
"422_105","Trapezoidal",1,1,0,0,1,0
